[00:04.64 - 00:20.52]  SPEAKER_00 : Allez-yÇa veut
[03:07.16 - 03:07.32]  SPEAKER_03 : des
[03:07.32 - 03:30.28]  SPEAKER_02 : choses qui prenaient des, mois voire desannées à certains chercheurs pouridentifier certaines choses dans des livres, papier ça prend quelques secondes avec une fonction de recherche par. exemple Donc c’est vrai que dans mon, domaine j’ai beaucoup beaucoup recours numérique et on voit qu’il y a une évolution un peu lente parfois parce que les professeurs sont plusâgés que moi souvent et ilsont uneutilisation un peu
[03:30.28 - 03:36.40]  SPEAKER_19 : plus fragile un peu plus timide du numérique dans nos.
[03:35.28 - 03:38.96]  SPEAKER_02 : domaines Tu peux.
[03:36.84 - 03:53.68]  SPEAKER_08 : commencer. Personne
[03:53.68 - 03:59.44]  SPEAKER_00 : AlorsOben, source..
[03:54.92 - 04:07.92]  SPEAKER_02 : c’estOuiExactement. oui Je pense qu’il peut dire ce qu’on pense des.
[04:07.12 - 04:14.80]  SPEAKER_08 : gâtams..
[04:08.32 - 04:25.92]  SPEAKER_01 : L’accessibilitéOuiVoilà c’est ce que j’allais dire.,
[04:17.60 - 04:40.92]  SPEAKER_02 : ouiOui c’est vrai Apple est totalement bloqué par. exemple C’était la politique de SteveJups à la base quand ilsont créé, l’entreprise c’est qu’ils voulaient que personne n’y en fait? comment Ah oui, oui c’est vrai que tout leur système est bloqué et leuriPhone au final c’est très peu personnalisable quand on
[04:40.92 - 04:42.52]  SPEAKER_17 : regarde lestéléphones
[04:42.52 - 05:10.16]  SPEAKER_02 : ou les mois je suis sur Mac par exemple et c’est vrai que c’est plus fluide mais par contre je peux rien toucher au niveau ou presque au niveau, fonctionnalité. etc Tout à. faitEh, oui c’est plus., simpleOui tout à.
[05:09.72 - 05:15.08]  SPEAKER_15 : fait Et après c’est vrai que tumentionnais l’open, source c’est
[05:15.08 - 05:21.00]  SPEAKER_02 : vrai qu’avec Marseille à l’université onaime beaucoup sur l’open source en ce moment parce que c’est pas la politique de tout le monde en fait par
[05:21.00 - 05:22.16]  SPEAKER_11 : rapport au
[05:22.16 - 05:51.12]  SPEAKER_02 : rapport qu’on a à la recherche du fait de tout mettre enopen source pour que la recherche soitaccessible alors qu’il y a beaucoup d’universités dans le monde qui en fait ferment et rendent leurs recherche payante et quelque part oui, oui je t’en.. prévasieOui Tout à. fait Et c’est vrai que c’est délicat comme sujet parce qu’on en parle de plus en plus que bon la connaissance doit êtreaccessible à tout le
[05:51.12 - 05:52.00]  SPEAKER_17 : monde et
[05:52.00 - 06:21.36]  SPEAKER_02 : en même temps c’est vrai qu’on est moi pour l’instant monambition c’est d’être enseignant chercheur et quand tu regardes en fait on est rémunéré pour le côté enseignant et pour le côté chercheur pas vraiment en. faitExactement et c’est drôle en fait de tout mettre enopenExcels alors qu’en plus ce sont des choses qu’onécrit qui prennent du temps et qu’on publie alors que les gens qui publient dans le domaine privé ils sont payés en. fait Et leurécrit est. payant Donc c’est vrai que c’est délicat comme sujet en ce.
[06:21.16 - 06:33.36]  SPEAKER_04 : moment Mais c’est. paradoxalète Et.
[06:32.68 - 06:40.72]  SPEAKER_02 : oui. Bon Absolument.
[06:39.84 - 07:19.56]  SPEAKER_04 : oui Du coup pour moi donc pour ma part tout ce qui est gafam pas tellementGoogle oui parce que je trouve que c’est le moteur de recherche le plus pertinent mais il faut dire ce qui est selon moi Amazon pas du tout aussi bien entermes de boycott on va dire au niveau de la politique. d’emploi C’est vrai que certain l’avantage c’est les prix et l’accessibilité rapide tout ce qui est livraison tout ça mais après j’évite un peu de commander tout ce qui est surInternet en
[07:19.56 - 07:22.64]  SPEAKER_06 : soiFacebook c’est
[07:22.64 - 07:23.60]  SPEAKER_04 : peut-être un des réseaux que
[07:23.60 - 07:25.52]  SPEAKER_06 : j’utilise le plus parmi
[07:25.52 - 07:26.12]  SPEAKER_04 : les réseaux que
[07:26.12 - 07:32.40]  SPEAKER_06 : j’ai j’aiFacebookInstagram et,
[07:31.72 - 07:32.36]  SPEAKER_10 : Snapchat
[07:32.36 - 07:40.88]  SPEAKER_04 : j’ai pas, Twitter TwitterInstagram et je comprends que dansInstagram c’est vraiment j’ai un compte je suis dépassé donc du coupFacebook plutôt
[07:40.88 - 07:41.36]  SPEAKER_06 : à titre
[07:41.36 - 08:03.12]  SPEAKER_04 : perso on va dire Apple je suis, largué voilà vous parlez d’Apple tout à l’heure de, compatibilité je suisadmiratif devant ton. père Moi tu me mets uniPhone dans les mains je suis commet clairement et après Microsoft forcément comme par rapport à Apple c’est j’ai toujours travaillé sur Microsoft en fait tout ce qui, estordinateur tout
[08:03.12 - 08:03.92]  SPEAKER_06 : ça donc je
[08:03.92 - 08:07.48]  SPEAKER_04 : suisformé par les logiciels Microsoft donc
[08:07.48 - 08:08.12]  SPEAKER_06 : j’utilise
[08:08.12 - 08:16.80]  SPEAKER_04 : beaucoup en fait à choisir entre un Apple et un Microsoft forcément je m’orienteraivers Microsoft après tout
[08:16.80 - 08:17.64]  SPEAKER_01 : ce quiétait
[08:17.64 - 08:23.56]  SPEAKER_04 : donc du coup numérique pas tellement pour ma part dans le cadre de monutilisation, personnelle
[08:23.56 - 08:23.96]  SPEAKER_06 : j’enai
[08:23.96 - 08:31.36]  SPEAKER_04 : pas tellement besoin tout ce qui est livre du coup je préfère encore leformat papier mais parce que je suis que dans la lecture je suis pas dans
[08:31.36 - 08:33.56]  SPEAKER_06 : la recherche mais quoi que ce soit donc j’y
[08:33.56 - 09:06.28]  SPEAKER_04 : trouve mon avantage mais je comprends totalement la facilité et l’intérêt du numérique dans le cadre de vos recherches justement dans le cadre de vos. fonctions C’est une facilité clairement comme tu dis c’est un gain de. temps Et après tout ce qui estopen source pareil j’enai pas l’utilité dans le cas de mes fonctions professionnelles mais j’aimerais justement pour parler avec la direction tout ça tout ce qui comment dire toutes nos recherches autour du handicap par
[09:06.28 - 09:07.68]  SPEAKER_06 : rapport au
[09:07.68 - 09:17.88]  SPEAKER_04 : retour qu’on aeu sur le public qu’onaccueille tout ça créer une petite base de données d’information justement pour pouvoir
[09:17.88 - 09:18.04]  SPEAKER_06 : les
[09:18.04 - 09:42.08]  SPEAKER_04 : mettre à disposition du personnel et de la direction justement pour qu’il puisse s’appuyer là-dessus et qu’on nous apprenait un peu plus de. moyensVoilà c’est plus pour, ça on ne l’utilise pas encore dans le cas de perso j’enai pas besoin dans le cadre, professionnel j’aimerais pouvoir le mettre en place mais après c’est tout comme si je prononcé pour la ville donc
[09:42.08 - 09:42.20]  SPEAKER_10 : il
[09:42.20 - 10:00.40]  SPEAKER_04 : y a toute une politique de confidentialité qui rentre en compte et c’est plus un frein qu’autre chose quoi malgré l’utilité qui pourrait y en. avoir Je suis.
[09:57.92 - 10:17.04]  SPEAKER_10 : largué C’est de l’open..
[10:02.36 - 10:22.64]  SPEAKER_16 : sourceOuais C’est unlibreaccès.
[10:22.16 - 10:25.36]  SPEAKER_02 : oui C’est çaexactement c’est la traduction.
[10:24.40 - 10:29.64]  SPEAKER_12 : delibreaccès Mais c’est vrai que souvent on ne ditopen source parce que c’est dans le domaine mais ça
[10:29.64 - 10:30.08]  SPEAKER_10 : fait bien
[10:30.08 - 10:38.80]  SPEAKER_02 : tout ce qui, voilà mais tout ce qui estlibreaccès en fait il y a beaucoup de choses qui sont enopen source et c’est leterme un petit peu jargon quoi que.
[10:37.52 - 10:48.24]  SPEAKER_00 : enanglais Je.,
[10:41.04 - 11:08.24]  SPEAKER_06 : voisOui.., clairementOuaisOui.
[11:06.48 - 11:10.32]  SPEAKER_05 : clairement,
[11:10.00 - 11:36.40]  SPEAKER_04 : Moi dans une grosse base de données de stockage, virtuel ça un big méga. cloud C’est. ça Et on n’est pas de cela de cette. pollution-làJuste toi tues les réseaux sociaux ou pas à réel que l’as pas.
[11:35.08 - 12:04.56]  SPEAKER_08 : dit Mise à.
[12:02.96 - 12:23.76]  SPEAKER_01 : jour C’est devenu monétaire cette.
[12:22.16 - 12:42.04]  SPEAKER_02 : battir On est d’accord profite de la vie plutôt de la partager sur enfin, bon c’est tout un vivre de la.,
[12:29.60 - 12:46.80]  SPEAKER_00 : vivreNon après tu vois tu manques de ce côté-là des réseaux mais par exemple moi.
[12:44.96 - 13:02.80]  SPEAKER_04 : j’aiInstagram Je m’en sers pas dans le sens où je publie très peu et ce que j’ai publié je me demande pourquoi je l’ai publié et doit avoir troisphotos qui se. battent Mais par contre il y a des comptes que je suis de professionnels dans le cadre de la, médecine de l’information ou de n’importe quoi qui sontaccessibles que via ces réseaux-là en.
[13:02.36 - 13:04.72]  SPEAKER_10 : faitEux c’est leur.
[13:03.64 - 13:20.08]  SPEAKER_04 : visibilité Donc dans ce sens-là, oui ça me sert mais sinon à titre moi dans le sens publié, non mais après ceux qui publient intéressants on est bien., d’accordOui je m’en sers dans ce cadre-là. oui.
[13:19.20 - 13:34.16]  SPEAKER_07 : D’accordOuais encore là.
[13:32.88 - 13:36.72]  SPEAKER_02 : encore Mais après ça va.
[13:35.80 - 13:42.44]  SPEAKER_04 : dépendreÇa va dépendre du type d’info aussi et c’est vrai qu’on n’est que j’aieu il y a destermes que je connaissais pas du tout
[13:42.44 - 13:43.68]  SPEAKER_06 : et du coup
[13:43.68 - 13:44.40]  SPEAKER_10 : après,
[13:44.00 - 14:06.16]  SPEAKER_04 : oui en ayant quelques, notions j’ai pu faire des recherches en parallèle mais sansâge je connaissais pas l’existence. quoi Donc, oui ça a double., trancheOui ça donne un certainaccès à l’information de part et. d’autreexactement Donc du coup à t’as coupé du coup il reste six.
[14:05.40 - 14:20.28]  SPEAKER_08 : minutes Moi du coup les garsemme donc moi je suis beaucoup Amazon donc très souvent j’Amazon fem et tout ça facilité comme vous dites et en plus c’est pas cher donc en étudiant tout ça.,
[14:19.36 - 14:24.08]  SPEAKER_04 : sympaOui c’est ça du moment que chacun y trouve son.
[14:22.04 - 14:35.60]  SPEAKER_08 : compte Moi je suis très Samsung donc Apple moi j’ai.. comprisVoilàRien Apple donc moi c’est Samsung depuis le début et je pour.
[14:34.32 - 14:38.48]  SPEAKER_10 : toujours.
[14:36.32 - 15:02.48]  SPEAKER_08 : Après Alors les réseaux sociaux je suis beaucoup dessus donc, chezFacebook chez,. SnapInsta Je publie beaucoup et je mets beaucoup de souris à tout le. monde Après j’utilise pas Twitter parce que Twitter j’aime. pasJ’utilise Linkedin aussi pour le, professionnel ça je trouve ça sympa voilà pour trouver des stages ou des.
[15:01.12 - 15:14.20]  SPEAKER_04 : tas C’est quoi ça s’appelle comment les? victimes Ah oui, oui tout à. fait Bon moi ça par contre ça a jamais servi pour le.,
[15:12.24 - 15:14.80]  SPEAKER_06 : tafaOui c’est.
[15:14.36 - 15:25.68]  SPEAKER_04 : vrai Aprit je pense que c’est. pas C’est comment dire c’est un peu trop, ciblé trop grand pour mon petit profil à moi quoi on va dire ça comme.
[15:25.28 - 15:52.04]  SPEAKER_10 : ça., D’accordOui non ça se plaît après je t’ai dit comme je suis largué peut-être que c’est moi qui l’utilise.,
[15:42.20 - 15:52.88]  SPEAKER_04 : malOuais c’est.
[15:52.40 - 16:18.00]  SPEAKER_02 : ça Et puis en plus c’est comme une sorte de, CV. voilàÇa limite une recherche de travail passive en fait puisque tu as ton CV en ligne tout le temps et qui est consultable moi des fois on me contacte en fait pour du..
[16:15.00 - 16:20.56]  SPEAKER_04 : boulotExactement Après je pense que c’est plus comment dire
[16:20.56 - 16:22.76]  SPEAKER_06 : ce que disait plus
[16:22.76 - 16:25.76]  SPEAKER_04 : bénéfique dans le cas
[16:25.76 - 16:25.92]  SPEAKER_10 : dans
[16:25.92 - 16:45.36]  SPEAKER_04 : le cadre par exemple dans le cadre de tes recherches de stage tout ça où c’est des grosses structures on va. dire Moi pour mes petites études que j’aieu c’était je m’en suis sortie, ça ça..
[16:37.12 - 16:46.28]  SPEAKER_10 : vaOuais Alors
[16:46.28 - 17:00.56]  SPEAKER_08 : le pinceau du coup moi j’utilise beaucoup parce que je suis en master donc forcément doit faire des mémoires tout, ça mais j’espère que le choix d’utiliser et comme on le disait tout à, l’heure on l’utilise forcément donc avec les réseaux sociaux donc comme je vousai dit je partage donc
[17:00.56 - 17:01.04]  SPEAKER_10 : je publie
[17:01.04 - 17:18.16]  SPEAKER_08 : les spories tout ça donc forcément je partage mes données et j’utilise leWikipédia beaucoup donc c’est un peu pratiqueéclat quand on n’a pas envie de trop, chercher on va vitesse sur la page petit à petit quel acteur a jouer dans telle série fin ça c’était pratique quoi on a.
[17:16.88 - 17:19.44]  SPEAKER_00 : toutÇa prend deux.
[17:18.72 - 17:22.16]  SPEAKER_04 : secondes Je sors toujours en premier en.,
[17:20.76 - 17:43.92]  SPEAKER_08 : plusVoilà j’utilise beaucoup donc voilà et je pense que c’est bon quoi. d’autre Moi j’utilise beaucoup plus Messenger que les SMS je parle à tout le monde sur, Messenger mais je parle un peu..
[17:42.48 - 17:46.84]  SPEAKER_04 : aussiVoilà Il n’est pas un jour c’est ça le.
[17:46.40 - 17:54.48]  SPEAKER_02 : problème C’est drôle ça comme on a changé du SMS classique où les gensutilisent maintenant plusWhatsapp ou Messenger que la fonction de message de.
[17:54.24 - 18:01.68]  SPEAKER_11 : loi Même lesautres non, personnellement mais je dis
[18:01.68 - 18:15.92]  SPEAKER_04 : simplement que je sais pas, activé je veux pas tout mais je veux pas que, letéléphoneger les réseaux tout. ça Se substitue à, tout mais letruc c’est qu’en fait moi j’avais fait avec Samsung en fait j’avais changé detéléphone j’avais perdu montéléphone tout,
[18:15.56 - 18:16.12]  SPEAKER_00 : ça donc
[18:16.12 - 18:27.08]  SPEAKER_04 : il a fallu que je récupère un vieuxtéléphone et que je mette mon répertoire dans le nouveau donc j’ai swifié mais en fait j’avais untéléphone récent mais avec un répertoire qui datait de cinqans plus tôt.,
[18:26.28 - 18:30.04]  SPEAKER_02 : quoiOui donc forcément c’est plus facile puisqu’il y a les gens avec qui tu parles se remets.
[18:29.80 - 18:41.80]  SPEAKER_04 : engeJ’ai assez ça donc du coup je me suis retrouvé à envoyer des messages à des numéros qui n’existaient. plus Donc du, coup je suis sûr que sur, Messenger les personnes je les contacte je les connais et elles sont toujours d’actualité.
[18:41.44 - 18:47.56]  SPEAKER_08 : quoi C’estrassurant parce que t’as la tête en plus tu sais s’ilsont vu le, message t’as leur tête qu’ils.,
[18:46.48 - 18:51.12]  SPEAKER_10 : affichentOuais voilà qui.,
[18:49.36 - 19:02.80]  SPEAKER_02 : parleOui c’est possible parce que c’est unetelibre de répondre au message comme tu as envie sur le., SMSOui aussi que c’est.
[19:02.20 - 19:30.00]  SPEAKER_04 : drôle Mais du, coup moi c’est juste dans le sens où j’ai mon répertoire il n’est pas à jour du coup. donc Mais sinon je passerai pas par mes ceintures pour., çaOui ça on peut désactiver la fonction par contre..
[19:24.40 - 19:30.48]  SPEAKER_13 : aussiNon Dans
[19:30.48 - 19:34.24]  SPEAKER_02 : Messenger je pense pas que tu puisses donc par contre sur
[19:34.24 - 19:34.40]  SPEAKER_15 : la
[19:34.40 - 20:23.76]  SPEAKER_02 : fonction SMS de l’iPhone, oui tu peux désactiver quand la personne a vu ou. pas Mais quand même quand j’ai vu le message ou. pas Mais c’est, oui c’est je trouve ça très intéressant de voir comment ça a changé en fait sur les réseaux. sociauxJ’utilisais des applications plutôt que de la fonction basique du SMS.. quoiOui C’est ça et les plus. petit Ilsont été achetés en., plusWhatsapp, c’estook je.. croisOui Mais.
[20:23.00 - 20:27.60]  SPEAKER_10 : oui Tout le.
[20:25.72 - 20:48.08]  SPEAKER_04 : mondeimplémentsEh, oui. oui C’est, ça c’est sur.
[20:46.88 - 21:46.96]  SPEAKER_02 : lesautres De toute façon ils nous onde partout quoi entre même les fortes fonctions série qui sont activées ou pas ou quand tu sais quand tu dis quand tu discutes de quelque chose avec quelqu’un et le lendemain chez, toi tu l’as la pub sur tonordinateur ou destrucs d’être comme ça. quoi Bien sûr mais c’estimpressionnant parce que tu as beau désactiver ou ne pas activer juste enterme pour ne. pasaccepter Il y a toujours un quelque part qui. vaarriverexactement C’est ou... finOuaisOuais Il ne va pas avoir de visibilité donc il a payé pour avoir un minimum un peu.
[21:45.28 - 21:51.84]  SPEAKER_08 : partout On va devoirarrêter du coup il est.,
[21:51.00 - 21:56.12]  SPEAKER_02 : l’heureOui c’est, vrai mais est-ce que est-ce qu’on passe automatiquement à la deux ou est-ce que? c’estanimal
