[00:04.64 - 00:20.52]  SPEAKER_03 : Allez-yÇa veut
[06:32.68 - 06:40.72]  SPEAKER_03 : oui. Bon Absolument.
[06:39.84 - 07:30.56]  SPEAKER_02 : oui Du coup pour moi donc pour ma part tout ce qui est gafam pas tellementGoogle oui parce que je trouve que c’est le moteur de recherche le plus pertinent mais il faut dire ce qui est selon moi Amazon pas du tout aussi bien entermes de boycott on va dire au niveau de la politique. d’emploi C’est vrai que certain l’avantage c’est les prix et l’accessibilité rapide tout ce qui est livraison tout ça mais après j’évite un peu de commander tout ce qui est surInternet en soiFacebook c’est peut-être un des réseaux que j’utilise le plus parmi les réseaux que j’ai j’aiFacebookInstagram
[07:30.56 - 07:32.40]  SPEAKER_03 : et,
[07:31.72 - 10:22.64]  SPEAKER_02 : Snapchat j’ai pas, Twitter TwitterInstagram et je comprends que dansInstagram c’est vraiment j’ai un compte je suis dépassé donc du coupFacebook plutôt à titre perso on va dire Apple je suis, largué voilà vous parlez d’Apple tout à l’heure de, compatibilité je suisadmiratif devant ton. père Moi tu me mets uniPhone dans les mains je suis commet clairement et après Microsoft forcément comme par rapport à Apple c’est j’ai toujours travaillé sur Microsoft en fait tout ce qui, estordinateur tout ça donc je suisformé par les logiciels Microsoft donc j’utilise beaucoup en fait à choisir entre un Apple et un Microsoft forcément je m’orienteraivers Microsoft après tout ce quiétait donc du coup numérique pas tellement pour ma part dans le cadre de monutilisation, personnelle j’enai pas tellement besoin tout ce qui est livre du coup je préfère encore leformat papier mais parce que je suis que dans la lecture je suis pas dans la recherche mais quoi que ce soit donc j’y trouve mon avantage mais je comprends totalement la facilité et l’intérêt du numérique dans le cadre de vos recherches justement dans le cadre de vos. fonctions C’est une facilité clairement comme tu dis c’est un gain de. temps Et après tout ce qui estopen source pareil j’enai pas l’utilité dans le cas de mes fonctions professionnelles mais j’aimerais justement pour parler avec la direction tout ça tout ce qui comment dire toutes nos recherches autour du handicap par rapport au retour qu’on aeu sur le public qu’onaccueille tout ça créer une petite base de données d’information justement pour pouvoir les mettre à disposition du personnel et de la direction justement pour qu’il puisse s’appuyer là-dessus et qu’on nous apprenait un peu plus de. moyensVoilà c’est plus pour, ça on ne l’utilise pas encore dans le cas de perso j’enai pas besoin dans le cadre, professionnel j’aimerais pouvoir le mettre en place mais après c’est tout comme si je prononcé pour la ville donc il y a toute une politique de confidentialité qui rentre en compte et c’est plus un frein qu’autre chose quoi malgré l’utilité qui pourrait y en. avoir Je suis. largué C’est de l’open.. sourceOuais C’est unlibreaccès.
[10:22.16 - 10:38.80]  SPEAKER_00 : oui C’est çaexactement c’est la traduction. delibreaccès Mais c’est vrai que souvent on ne ditopen source parce que c’est dans le domaine mais ça fait bien tout ce qui, voilà mais tout ce qui estlibreaccès en fait il y a beaucoup de choses qui sont enopen source et c’est leterme un petit peu jargon quoi que.
[10:37.52 - 11:08.24]  SPEAKER_03 : enanglais Je., voisOui.., clairementOuaisOui.
[11:06.48 - 11:18.48]  SPEAKER_02 : clairement, Moi dans une grosse base de données de stockage, virtuel ça un big méga.
[11:15.24 - 11:22.96]  SPEAKER_03 : cloud C’est.
[11:21.72 - 11:36.40]  SPEAKER_02 : ça Et on n’est pas de cela de cette. pollution-làJuste toi tues les réseaux sociaux ou pas à réel que l’as pas.
[11:35.08 - 12:04.56]  SPEAKER_01 : dit Mise à.
[12:02.96 - 12:23.76]  SPEAKER_02 : jour C’est devenu monétaire cette.
[12:22.16 - 12:42.04]  SPEAKER_00 : battir On est d’accord profite de la vie plutôt de la partager sur enfin, bon c’est tout un vivre de la.,
[12:29.60 - 12:46.80]  SPEAKER_03 : vivreNon après tu vois tu manques de ce côté-là des réseaux mais par exemple moi.
[12:44.96 - 13:34.16]  SPEAKER_02 : j’aiInstagram Je m’en sers pas dans le sens où je publie très peu et ce que j’ai publié je me demande pourquoi je l’ai publié et doit avoir troisphotos qui se. battent Mais par contre il y a des comptes que je suis de professionnels dans le cadre de la, médecine de l’information ou de n’importe quoi qui sontaccessibles que via ces réseaux-là en. faitEux c’est leur. visibilité Donc dans ce sens-là, oui ça me sert mais sinon à titre moi dans le sens publié, non mais après ceux qui publient intéressants on est bien., d’accordOui je m’en sers dans ce cadre-là. oui. D’accordOuais encore là.
[13:32.88 - 13:36.72]  SPEAKER_00 : encore Mais après ça va.
[13:35.80 - 14:06.16]  SPEAKER_02 : dépendreÇa va dépendre du type d’info aussi et c’est vrai qu’on n’est que j’aieu il y a destermes que je connaissais pas du tout et du coup après, oui en ayant quelques, notions j’ai pu faire des recherches en parallèle mais sansâge je connaissais pas l’existence. quoi Donc, oui ça a double., trancheOui ça donne un certainaccès à l’information de part et. d’autreexactement Donc du coup à t’as coupé du coup il reste six.
[14:05.40 - 14:20.28]  SPEAKER_01 : minutes Moi du coup les garsemme donc moi je suis beaucoup Amazon donc très souvent j’Amazon fem et tout ça facilité comme vous dites et en plus c’est pas cher donc en étudiant tout ça.,
[14:19.36 - 14:24.08]  SPEAKER_02 : sympaOui c’est ça du moment que chacun y trouve son.
[14:22.04 - 14:35.60]  SPEAKER_01 : compte Moi je suis très Samsung donc Apple moi j’ai.. comprisVoilàRien Apple donc moi c’est Samsung depuis le début et je pour.
[14:34.32 - 14:38.48]  SPEAKER_03 : toujours.
[14:36.32 - 15:02.48]  SPEAKER_01 : Après Alors les réseaux sociaux je suis beaucoup dessus donc, chezFacebook chez,. SnapInsta Je publie beaucoup et je mets beaucoup de souris à tout le. monde Après j’utilise pas Twitter parce que Twitter j’aime. pasJ’utilise Linkedin aussi pour le, professionnel ça je trouve ça sympa voilà pour trouver des stages ou des.
[15:01.12 - 15:52.88]  SPEAKER_02 : tas C’est quoi ça s’appelle comment les? victimes Ah oui, oui tout à. fait Bon moi ça par contre ça a jamais servi pour le., tafaOui c’est. vrai Aprit je pense que c’est. pas C’est comment dire c’est un peu trop, ciblé trop grand pour mon petit profil à moi quoi on va dire ça comme. ça., D’accordOui non ça se plaît après je t’ai dit comme je suis largué peut-être que c’est moi qui l’utilise., malOuais c’est.
[15:52.40 - 16:18.00]  SPEAKER_00 : ça Et puis en plus c’est comme une sorte de, CV. voilàÇa limite une recherche de travail passive en fait puisque tu as ton CV en ligne tout le temps et qui est consultable moi des fois on me contacte en fait pour du..
[16:15.00 - 16:45.36]  SPEAKER_02 : boulotExactement Après je pense que c’est plus comment dire ce que disait plus bénéfique dans le cas dans le cadre par exemple dans le cadre de tes recherches de stage tout ça où c’est des grosses structures on va. dire Moi pour mes petites études que j’aieu c’était je m’en suis sortie, ça ça..
[16:37.12 - 16:46.28]  SPEAKER_03 : vaOuais Alors
[16:46.28 - 17:18.16]  SPEAKER_01 : le pinceau du coup moi j’utilise beaucoup parce que je suis en master donc forcément doit faire des mémoires tout, ça mais j’espère que le choix d’utiliser et comme on le disait tout à, l’heure on l’utilise forcément donc avec les réseaux sociaux donc comme je vousai dit je partage donc je publie les spories tout ça donc forcément je partage mes données et j’utilise leWikipédia beaucoup donc c’est un peu pratiqueéclat quand on n’a pas envie de trop, chercher on va vitesse sur la page petit à petit quel acteur a jouer dans telle série fin ça c’était pratique quoi on a.
[17:16.88 - 17:19.44]  SPEAKER_03 : toutÇa prend deux.
[17:18.72 - 17:30.32]  SPEAKER_02 : secondes Je sors toujours en premier en., plusVoilà j’utilise beaucoup donc voilà et je pense que c’est bon quoi.
[17:29.32 - 17:35.08]  SPEAKER_03 : d’autre Moi
[17:35.08 - 17:43.92]  SPEAKER_01 : j’utilise beaucoup plus Messenger que les SMS je parle à tout le monde sur, Messenger mais je parle un peu..
[17:42.48 - 17:46.84]  SPEAKER_02 : aussiVoilà Il n’est pas un jour c’est ça le.
[17:46.40 - 18:01.68]  SPEAKER_00 : problème C’est drôle ça comme on a changé du SMS classique où les gensutilisent maintenant plusWhatsapp ou Messenger que la fonction de message de. loi Même lesautres non, personnellement mais je dis
[18:01.68 - 18:27.08]  SPEAKER_02 : simplement que je sais pas, activé je veux pas tout mais je veux pas que, letéléphoneger les réseaux tout. ça Se substitue à, tout mais letruc c’est qu’en fait moi j’avais fait avec Samsung en fait j’avais changé detéléphone j’avais perdu montéléphone tout, ça donc il a fallu que je récupère un vieuxtéléphone et que je mette mon répertoire dans le nouveau donc j’ai swifié mais en fait j’avais untéléphone récent mais avec un répertoire qui datait de cinqans plus tôt.,
[18:26.28 - 18:30.04]  SPEAKER_00 : quoiOui donc forcément c’est plus facile puisqu’il y a les gens avec qui tu parles se remets.
[18:29.80 - 18:41.80]  SPEAKER_02 : engeJ’ai assez ça donc du coup je me suis retrouvé à envoyer des messages à des numéros qui n’existaient. plus Donc du, coup je suis sûr que sur, Messenger les personnes je les contacte je les connais et elles sont toujours d’actualité.
[18:41.44 - 18:47.56]  SPEAKER_01 : quoi C’estrassurant parce que t’as la tête en plus tu sais s’ilsont vu le, message t’as leur tête qu’ils.,
[18:46.48 - 18:51.12]  SPEAKER_02 : affichentOuais voilà qui.,
[18:49.36 - 19:02.80]  SPEAKER_00 : parleOui c’est possible parce que c’est unetelibre de répondre au message comme tu as envie sur le., SMSOui aussi que c’est.
[19:02.20 - 19:30.00]  SPEAKER_02 : drôle Mais du, coup moi c’est juste dans le sens où j’ai mon répertoire il n’est pas à jour du coup. donc Mais sinon je passerai pas par mes ceintures pour., çaOui ça on peut désactiver la fonction par contre..
[19:24.40 - 20:23.76]  SPEAKER_00 : aussiNon Dans Messenger je pense pas que tu puisses donc par contre sur la fonction SMS de l’iPhone, oui tu peux désactiver quand la personne a vu ou. pas Mais quand même quand j’ai vu le message ou. pas Mais c’est, oui c’est je trouve ça très intéressant de voir comment ça a changé en fait sur les réseaux. sociauxJ’utilisais des applications plutôt que de la fonction basique du SMS.. quoiOui C’est ça et les plus. petit Ilsont été achetés en., plusWhatsapp, c’estook je.. croisOui Mais.
[20:23.00 - 20:48.08]  SPEAKER_02 : oui Tout le. mondeimplémentsEh, oui. oui C’est, ça c’est sur.
[20:46.88 - 21:46.96]  SPEAKER_00 : lesautres De toute façon ils nous onde partout quoi entre même les fortes fonctions série qui sont activées ou pas ou quand tu sais quand tu dis quand tu discutes de quelque chose avec quelqu’un et le lendemain chez, toi tu l’as la pub sur tonordinateur ou destrucs d’être comme ça. quoi Bien sûr mais c’estimpressionnant parce que tu as beau désactiver ou ne pas activer juste enterme pour ne. pasaccepter Il y a toujours un quelque part qui. vaarriverexactement C’est ou... finOuaisOuais Il ne va pas avoir de visibilité donc il a payé pour avoir un minimum un peu.
[21:45.28 - 21:51.84]  SPEAKER_01 : partout On va devoirarrêter du coup il est.,
[21:51.00 - 21:56.12]  SPEAKER_00 : l’heureOui c’est, vrai mais est-ce que est-ce qu’on passe automatiquement à la deux ou est-ce que? c’estanimal
